VMX,20190218,0.23,0.23,0.215,0.215,30728
VMT,20190218,0.063,0.063,0.063,0.063,16070
VMS,20190218,0.019,0.025,0.019,0.024,1442613
VML,20190218,0.007,0.007,0.007,0.007,1318296
VMG,20190218,0.001,0.001,0.001,0.001,350960
VMC,20190218,0.125,0.125,0.125,0.125,7157
VLW,20190218,1.97,2.02,1.955,1.97,303918
VLT,20190218,0.18,0.2,0.17,0.2,273782
VLC,20190218,62.37,62.49,62.37,62.49,1735
VKA,20190218,0.012,0.012,0.012,0.012,500000
VIV,20190218,0.027,0.027,0.026,0.026,231000
VIF,20190218,48.15,48.32,48.15,48.3,5590
VHY,20190218,56.25,56.63,56.25,56.42,19724
VHT,20190218,1.06,1.065,1.045,1.045,193393
VGS,20190218,70.53,70.59,70.34,70.41,39989
VGE,20190218,64.2,64.5,64,64.13,18845
VGB,20190218,50.58,50.61,50.52,50.53,103443
VG1,20190218,2.49,2.5,2.48,2.49,135866
VEU,20190218,68.98,69.18,68.86,68.95,12749
VEQ,20190218,52.83,53.16,52.83,52.88,3281
VEE,20190218,0.49,0.49,0.49,0.49,24000
VEA,20190218,2.34,2.34,2.27,2.29,4363278
VCX,20190218,2.54,2.545,2.51,2.53,13193318
VCF,20190218,47.35,47.35,47.35,47.35,984
VAS,20190218,77.54,77.75,77.2,77.75,47538
VAP,20190218,85.89,86,85.01,85.7,16531
VAN,20190218,0.15,0.155,0.145,0.155,176020
VAH,20190218,0.195,0.2,0.195,0.2,313726
VAF,20190218,49.96,49.96,49.9,49.91,31760
VAE,20190218,63.82,63.95,63.5,63.76,5240
UWL,20190218,0.195,0.2,0.185,0.19,299577
UTR,20190218,0.006,0.006,0.005,0.006,4913634
USD,20190218,13.72,13.72,13.68,13.69,37863
URW,20190218,11.42,11.48,11.41,11.46,1065293
URF,20190218,1.24,1.24,1.215,1.22,9781
URB,20190218,0.92,0.92,0.915,0.92,44103
UNV,20190218,0.345,0.35,0.34,0.34,532495
UNL,20190218,0.02,0.02,0.02,0.02,110535
UCM,20190218,0.13,0.13,0.13,0.13,366
UBW,20190218,26.07,26.07,26.03,26.03,414
UBU,20190218,28.69,28.69,28.69,28.69,35
UBP,20190218,25.01,25.2,25.01,25.2,343
UBI,20190218,0.245,0.245,0.23,0.23,158728
UBE,20190218,21.29,21.29,21.29,21.29,44
UBA,20190218,20.28,20.42,20.28,20.42,3146
TZN,20190218,0.09,0.095,0.09,0.095,251968
TZL,20190218,0.255,0.255,0.255,0.255,686
TYX,20190218,0.007,0.007,0.007,0.007,634087
TYM,20190218,0.37,0.39,0.37,0.39,372787
TWR,20190218,0.695,0.695,0.695,0.695,840
TWE,20190218,16.09,16.23,15.46,15.5,5658167
TWD,20190218,3.61,3.61,3.61,3.61,4800
TV2,20190218,0.007,0.008,0.007,0.007,12455364
TTT,20190218,2.12,2.12,2.07,2.07,52868
TTL,20190218,0.018,0.018,0.018,0.018,739590
TTI,20190218,0.03,0.03,0.029,0.029,736849
TTB,20190218,0.031,0.031,0.031,0.031,118996
TSN,20190218,0.007,0.008,0.007,0.008,1020100
TSL,20190218,0.015,0.015,0.015,0.015,726919
TSC,20190218,0.005,0.006,0.005,0.006,810671
TRY,20190218,0.105,0.105,0.1,0.105,915105
TRS,20190218,2.76,2.76,2.74,2.74,106711
TRL,20190218,0.003,0.003,0.003,0.003,550000
TPP,20190218,0.12,0.12,0.12,0.12,16542
TPM,20190218,6.69,6.87,6.58,6.84,2291030
TPE,20190218,1.08,1.08,1.05,1.05,22999
TPD,20190218,0.003,0.003,0.003,0.003,7920
TOU,20190218,0.1,0.1,0.097,0.097,69614
TOT,20190218,1.2,1.2,1.2,1.2,92429
TOP,20190218,0.645,0.645,0.635,0.64,78182
TOE,20190218,0.025,0.026,0.025,0.025,397951
TNY,20190218,0.39,0.395,0.39,0.395,5000
TNR,20190218,0.025,0.025,0.025,0.025,240000
TNO,20190218,0.11,0.11,0.105,0.105,302826
TNK,20190218,1.8,1.82,1.8,1.8,30731
TNG,20190218,0.105,0.105,0.1,0.105,193905
TNE,20190218,7.37,7.4,7.33,7.38,550604
TMT,20190218,0.275,0.29,0.27,0.28,418474
TMR,20190218,0.235,0.235,0.23,0.23,20057
TME,20190218,6.14,6.15,6.125,6.15,347718
TLX,20190218,0.725,0.725,0.7,0.7,53536
TLS,20190218,3.19,3.215,3.18,3.21,22800705
TLM,20190218,0.225,0.225,0.22,0.22,648745
TLG,20190218,0.385,0.39,0.375,0.375,131567
TKM,20190218,0.007,0.007,0.007,0.007,4000
TIE,20190218,0.093,0.097,0.093,0.097,160086
TIA,20190218,0.56,0.56,0.56,0.56,300
THX,20190218,0.012,0.012,0.012,0.012,41666
THR,20190218,0.021,0.021,0.017,0.017,195944
THC,20190218,0.575,0.59,0.57,0.57,139176
TGR,20190218,4.84,4.925,4.79,4.85,1575448
TGP,20190218,1.03,1.035,1.02,1.035,107715
TGN,20190218,0.25,0.26,0.24,0.26,89734
TGG,20190218,1.3,1.3,1.285,1.29,360918
TGF,20190218,2.46,2.47,2.44,2.44,38542
TGA,20190218,0.46,0.48,0.46,0.48,62927
