KLL,20190218,0.34,0.365,0.34,0.35,713243
IDA,20190218,0.052,0.052,0.052,0.052,11944
TWR,20190218,0.695,0.695,0.695,0.695,840
SPQ,20190218,0.005,0.005,0.005,0.005,50000
BTH,20190218,0.33,0.33,0.325,0.33,166671
CTP,20190218,0.14,0.14,0.135,0.14,132671
TOE,20190218,0.025,0.026,0.025,0.025,397951
QCB,20190218,8.3,8.3,8.3,8.3,120
TOP,20190218,0.645,0.645,0.635,0.64,78182
SVM,20190218,0.073,0.073,0.073,0.073,233810
SVY,20190218,0.28,0.33,0.275,0.32,1087813
BRL,20190218,0.135,0.135,0.135,0.135,1426186
ARS,20190218,0.026,0.027,0.025,0.025,711236
IGB,20190218,106.98,106.99,106.69,106.96,891
RXM,20190218,0.075,0.078,0.075,0.078,232547
QVE,20190218,1.055,1.07,1.05,1.07,267399
WAM,20190218,2.16,2.17,2.15,2.16,389783
PGI,20190218,0.029,0.03,0.028,0.03,187317
JYC,20190218,1.435,1.44,1.435,1.44,10468
PCH,20190218,0.002,0.002,0.002,0.002,1300001
ILU,20190218,9.4,9.47,9.33,9.4,1296405
EVS,20190218,0.092,0.096,0.092,0.094,2392117
TTL,20190218,0.018,0.018,0.018,0.018,739590
CZL,20190218,0.02,0.02,0.02,0.02,123000
POD,20190218,0.061,0.063,0.056,0.056,110599
JBH,20190218,23.61,24.02,23.26,23.5,1040536
DWS,20190218,1.165,1.18,1.165,1.17,41310
TAM,20190218,0.045,0.045,0.045,0.045,25000
ARF,20190218,2.72,2.75,2.72,2.75,150079
WQG,20190218,1.065,1.07,1.065,1.07,86507
IMA,20190218,0.18,0.18,0.17,0.175,1750043
CP1,20190218,0.12,0.12,0.12,0.12,12700
CYB,20190218,3.4,3.44,3.35,3.38,2533918
KPO,20190218,0.014,0.014,0.014,0.014,429879
G1A,20190218,0.355,0.355,0.345,0.35,41517
CWL,20190218,0.055,0.064,0.055,0.064,16207
XMJ,20190218,12694.7,12887.4,12694.7,12821.1,0
GMR,20190218,0.016,0.017,0.016,0.017,2224992
MFF,20190218,2.77,2.85,2.76,2.85,284490
MNS,20190218,0.33,0.33,0.29,0.29,814859
IPT,20190218,0.008,0.008,0.008,0.008,393800
AB1,20190218,0.09,0.09,0.09,0.09,106563
CCL,20190218,8.45,8.47,8.33,8.34,1116730
IVR,20190218,0.01,0.011,0.01,0.011,3666447
PNR,20190218,0.235,0.24,0.235,0.235,397892
AVJ,20190218,0.525,0.53,0.52,0.52,19478
XSJ,20190218,10803.3,10915.2,10803.3,10830.4,0
GPT,20190218,5.9,5.96,5.875,5.94,4837524
SCT,20190218,0.15,0.15,0.14,0.145,178391
OCL,20190218,2.53,2.53,2.52,2.52,1791
INP,20190218,0.091,0.1,0.085,0.086,9828009
SHL,20190218,23.89,23.93,23.57,23.65,991692
FSA,20190218,1.15,1.15,1.15,1.15,7500
AMH,20190218,0.835,0.85,0.835,0.84,70772
CGL,20190218,8.58,8.72,8.535,8.6,45228
AGH,20190218,0.39,0.41,0.39,0.4,210684
IPL,20190218,3.29,3.31,3.26,3.26,11044343
SCU,20190218,0.02,0.02,0.02,0.02,49469
VTI,20190218,0.14,0.145,0.135,0.135,11819
AEI,20190218,0.15,0.15,0.15,0.15,3000
IEM,20190218,59,59.42,58.85,58.96,10484
AIQ,20190218,0.095,0.095,0.095,0.095,1836
EFF,20190218,1.57,1.57,1.57,1.57,125000
ERM,20190218,0.068,0.068,0.068,0.068,20000
RES,20190218,0.063,0.063,0.06,0.06,100000
CWN,20190218,12.23,12.23,12.02,12.11,982910
LVT,20190218,0.345,0.35,0.34,0.34,697859
JAN,20190218,0.345,0.345,0.33,0.33,8601
NNW,20190218,0.115,0.115,0.115,0.115,34673
HSC,20190218,0.03,0.03,0.03,0.03,48750
NWF,20190218,0.18,0.18,0.18,0.18,25000
IVC,20190218,12.97,12.97,12.54,12.59,603496
UBI,20190218,0.245,0.245,0.23,0.23,158728
ZEN,20190218,0.7,0.7,0.69,0.695,386522
ST1,20190218,0.14,0.15,0.14,0.145,64793
RDM,20190218,0.105,0.115,0.105,0.115,50000
RFG,20190218,0.29,0.295,0.29,0.29,560256
AXE,20190218,0.073,0.073,0.073,0.073,76892
CCA,20190218,0.068,0.068,0.066,0.066,152672
XTD,20190218,0.03,0.03,0.023,0.023,2519103
IXI,20190218,69.07,69.43,69.07,69.4,1504
AGR,20190218,0.13,0.13,0.125,0.13,52319
SXX,20190218,0.005,0.005,0.005,0.005,20000
BWP,20190218,3.77,3.81,3.74,3.81,1471182
ARE,20190218,0.026,0.026,0.025,0.025,1416773
APX,20190218,18,18.06,17.82,18,919217
NTC,20190218,0.73,0.75,0.72,0.735,220352
GRB,20190218,0.11,0.11,0.105,0.11,940721
EMB,20190218,12.8,12.8,12.8,12.8,403
TGR,20190218,4.84,4.925,4.79,4.85,1575448
PDN,20190218,0.195,0.2,0.192,0.195,1000847
SW1,20190218,0.27,0.28,0.26,0.27,184943
SDV,20190218,0.07,0.07,0.066,0.067,333438
NOX,20190218,0.4,0.43,0.4,0.42,54224
ELX,20190218,0.605,0.615,0.595,0.605,145095
IDX,20190218,2.85,2.92,2.85,2.85,23284
CHR,20190218,4.13,4.13,4.12,4.12,769
BKL,20190218,123.01,124.65,122.84,123.56,61675
MFG,20190218,32.79,33.44,32.72,32.92,742231
BCT,20190218,0.068,0.069,0.068,0.069,169755
CPU,20190218,18.24,18.24,17.89,18.08,3625047
OPN,20190218,0.034,0.034,0.034,0.034,662478
COL,20190218,12.6,12.65,12.5,12.59,1600572
EXP,20190218,0.24,0.247,0.23,0.245,238315
DRX,20190218,0.015,0.015,0.015,0.015,18000
GLL,20190218,0.405,0.405,0.39,0.39,60692
DTL,20190218,1.69,1.69,1.63,1.65,11509
CDA,20190218,3.2,3.28,3.2,3.28,31929
SRG,20190218,0.48,0.48,0.475,0.48,97059
OOO,20190218,15.76,15.76,15.63,15.7,54203
RHL,20190218,3.06,3.15,3.03,3.09,114991
BLT,20190218,0.13,0.13,0.12,0.122,145417
SIL,20190218,0.305,0.305,0.3,0.3,1124354
ANP,20190218,0.036,0.036,0.034,0.034,526013
NAM,20190218,0.39,0.39,0.39,0.39,2046
MGR,20190218,2.56,2.6,2.55,2.59,6505715
WPL,20190218,36.61,37.1,36.51,36.89,3380233
ALI,20190218,1.97,2,1.97,1.99,192950
IPD,20190218,0.24,0.25,0.235,0.24,243638
SMI,20190218,0.005,0.006,0.005,0.005,5778361
WHA,20190218,0.905,0.93,0.905,0.92,297820
KNL,20190218,0.115,0.115,0.11,0.11,40660
LBT,20190218,0.073,0.073,0.073,0.073,15000
JPR,20190218,0.039,0.039,0.039,0.039,2120
PET,20190218,0.385,0.39,0.37,0.37,152065
MXR,20190218,0.074,0.075,0.074,0.075,16088
SRV,20190218,3.05,3.14,3.05,3.08,40953
FRX,20190218,0.046,0.047,0.046,0.047,93757
XDJ,20190218,2263.2,2281.1,2260.7,2262.9,0
TOT,20190218,1.2,1.2,1.2,1.2,92429
GLB,20190218,2.29,2.29,2.29,2.29,1800
HPR,20190218,0.062,0.062,0.061,0.061,85000
ARU,20190218,0.05,0.05,0.048,0.049,1708734
BUX,20190218,0.11,0.11,0.105,0.105,193022
MSV,20190218,0.048,0.05,0.047,0.049,1821483
DOR,20190218,0.09,0.09,0.09,0.09,1830
BLD,20190218,4.87,4.91,4.84,4.87,4155477
QTM,20190218,0.037,0.037,0.037,0.037,25000
KNM,20190218,0.023,0.023,0.023,0.023,58328
AAA,20190218,50.11,50.12,50.11,50.115,75784
PIC,20190218,1.08,1.085,1.075,1.075,263301
FPC,20190218,0.84,0.84,0.835,0.84,63000
TV2,20190218,0.007,0.008,0.007,0.007,12455364
PFP,20190218,2.97,2.97,2.91,2.91,20971
KAR,20190218,1.03,1.045,1.02,1.045,722281
PM8,20190218,0.019,0.021,0.019,0.02,16462684
MRV,20190218,0.006,0.006,0.006,0.006,2955000
FTC,20190218,0.036,0.036,0.036,0.036,88821
NKP,20190218,0.085,0.086,0.085,0.086,30000
IKO,20190218,89.42,90.37,89.42,90.19,933
PRX,20190218,0.065,0.065,0.06,0.06,951797
